"Speaker","Rand","Pros","Word","Durw","Fvowel","DurFvowel","stress"
"AL","rand1","Stat","tana",0.38,"a",0.1,0
"AL","rand1","Stat","tito",0.46,"o",0.13,0
"AL","rand1","Stat","sofa'",0.38,"a",0.1,1
"AL","rand1","Stat","falo'",0.39,"o",0.11,1
"AL","rand1","Stat","sede",0.43,"e",0.13,0
"AL","rand1","Stat","ramo",0.53,"o",0.12,0
"AL","rand1","Stat","kali'",0.35,"i",0.1,1
"AL","rand1","Stat","pipi'",0.38,"i",0.15,1
"AL","rand1","Stat","remi",0.43,"i",0.15,0
"AL","rand1","Stat","rita",0.39,"a",0.14,0
"AL","rand1","Stat","mali",0.48,"i",0.14,0
"AL","rand1","Stat","cile",0.41,"e",0.1,0
"AL","rand1","Stat","pupi",0.46,"i",0.14,0
"AL","rand1","Stat","casa",0.49,"a",0.15,0
"AL","rand1","Stat","como'",0.35,"o",0.12,1
"AL","rand1","Stat","pate'",0.37,"e",0.13,1
"AL","rand1","Stat","mose'",0.41,"e",0.14,1
"AL","rand1","Stat","bepi",0.48,"i",0.12,0
"AL","rand1","Stat","mimi'",0.38,"i",0.15,1
"AL","rand1","Stat","kepi'",0.41,"i",0.14,1
"AL","rand1","Stat","gile'",0.33,"e",0.12,1
"AL","rand1","Stat","para'",0.37,"a",0.14,1
"AL","rand1","Stat","tate",0.47,"e",0.15,0
"AL","rand1","Stat","case",0.53,"e",0.16,0
"AL","rand1","Stat","maro'",0.33,"o",0.12,1
"AL","rand1","Stat","toto'",0.38,"o",0.13,1
"AL","rand1","Stat","bara",0.47,"a",0.13,0
"DN","rand3","Query","sede",0.55,"e",0.21,0
"DN","rand3","Query","pate'",0.52,"e",0.22,1
"DN","rand3","Query","como'",0.47,"o",0.22,1
"DN","rand3","Query","kali'",0.43,"i",0.2,1
"DN","rand3","Query","palo",0.61,"o",0.19,0
"DN","rand3","Query","tito",0.63,"o",0.22,0
"DN","rand3","Query","rita",0.5,"a",0.21,0
"DN","rand3","Query","gile'",0.43,"e",0.22,1
"DN","rand3","Query","mali",0.56,"i",0.17,0
"DN","rand3","Query","pipi'",0.52,"i",0.26,1
"DN","rand3","Query","casa",0.63,"a",0.22,0
"DN","rand3","Query","ramo",0.6,"o",0.18,0
"DN","rand3","Query","case",0.64,"e",0.23,0
"DN","rand3","Query","kepi'",0.63,"i",0.34,1
"DN","rand3","Query","meta'",0.63,"a",0.39,1
"DN","rand3","Query","pupi",0.69,"i",0.25,0
"DN","rand3","Query","bide'",0.61,"e",0.39,1
"DN","rand3","Query","baro",0.71,"o",0.29,0
"DN","rand3","Query","tana",0.66,"a",0.28,0
"DN","rand3","Query","remi",0.57,"i",0.2,0
"DN","rand3","Query","bepi",0.73,"i",0.26,0
"DN","rand3","Query","maro'",0.61,"o",0.38,1
"DN","rand3","Query","falo'",0.61,"o",0.33,1
"DN","rand3","Query","tate",0.73,"e",0.31,0
"DN","rand3","Query","mose'",0.62,"e",0.33,1
"DN","rand3","Query","bara",0.68,"a",0.24,0
"DN","rand3","Query","cile",0.61,"e",0.19,0
"DN","rand3","Query","nana'",0.47,"a",0.27,1
"DN","rand3","Query","para'",0.49,"a",0.24,1
"DN","rand3","Query","toto'",0.66,"o",0.38,1
"DN","rand3","Query","mimi'",0.44,"i",0.22,1
"DN","rand3","Query","sofa'",0.63,"a",0.32,1
"DN","rand3","Stat","palo",0.51,"o",0.12,0
"DN","rand3","Stat","meta'",0.43,"a",0.18,1
"DN","rand3","Stat","maro'",0.44,"o",0.21,1
"DN","rand3","Stat","remi",0.48,"i",0.15,0
"DN","rand3","Stat","bide'",0.42,"e",0.21,1
"DN","rand3","Stat","mimi'",0.41,"i",0.16,1
"DN","rand3","Stat","falo'",0.42,"o",0.15,1
"DN","rand3","Stat","nana'",0.4,"a",0.19,1
"DN","rand3","Stat","sede",0.55,"e",0.16,0
"DN","rand3","Stat","cile",0.52,"e",0.18,0
"DN","rand3","Stat","case",0.56,"e",0.14,0
"DN","rand3","Stat","mali",0.5,"i",0.12,0
"DN","rand3","Stat","pupi",0.52,"i",0.13,0
"DN","rand3","Stat","tito",0.57,"o",0.13,0
"DN","rand3","Stat","kepi'",0.48,"i",0.18,1
"DN","rand3","Stat","para'",0.48,"a",0.22,1
"DN","rand3","Stat","como'",0.46,"o",0.18,1
"DN","rand3","Stat","tana",0.52,"a",0.15,0
"DN","rand3","Stat","kali'",0.42,"i",0.19,1
"DN","rand3","Stat","bepi",0.53,"i",0.12,0
"DN","rand3","Stat","ramo",0.53,"o",0.13,0
"DN","rand3","Stat","mose'",0.45,"e",0.18,1
"DN","rand3","Stat","pipi'",0.4,"i",0.15,1
"DN","rand3","Stat","casa",0.5,"a",0.12,0
"DN","rand3","Stat","rita",0.48,"a",0.18,0
"DN","rand3","Stat","baro",0.56,"o",0.15,0
"DN","rand3","Stat","gile'",0.42,"e",0.18,1
"DN","rand3","Stat","toto'",0.49,"o",0.19,1
"DN","rand3","Stat","bara",0.55,"a",0.14,0
"DN","rand3","Stat","sofa'",0.43,"a",0.15,1
"DN","rand3","Stat","pate'",0.41,"e",0.12,1
"DN","rand3","Stat","tate",0.48,"e",0.11,0
"EB","rand1","Query","mose'",0.56,"e",0.31,1
"EB","rand1","Query","maro'",0.43,"o",0.23,1
"EB","rand1","Query","gile'",0.34,"e",0.16,1
"EB","rand1","Query","tito",0.48,"o",0.18,0
"EB","rand1","Query","palo",0.55,"o",0.18,0
"EB","rand1","Query","casa",0.51,"a",0.18,0
"EB","rand1","Query","nana'",0.37,"a",0.17,1
"EB","rand1","Query","sede",0.55,"e",0.21,0
"EB","rand1","Query","remi",0.4,"i",0.15,0
"EB","rand1","Query","falo'",0.46,"o",0.19,1
"EB","rand1","Query","mali",0.47,"i",0.15,0
"EB","rand1","Query","baro",0.53,"o",0.2,0
"EB","rand1","Query","tana",0.46,"a",0.15,0
"EB","rand1","Query","para'",0.39,"a",0.18,1
"EB","rand1","Query","bide'",0.37,"e",0.18,1
"EB","rand1","Query","meta'",0.41,"a",0.19,1
"EB","rand1","Query","cile",0.53,"e",0.19,0
"EB","rand1","Query","pipi'",0.36,"i",0.13,1
"EB","rand1","Query","pate'",0.43,"e",0.17,1
"EB","rand1","Query","bara",0.52,"a",0.18,0
"EB","rand1","Query","ramo",0.46,"o",0.13,0
"EB","rand1","Query","tate",0.59,"e",0.21,0
"EB","rand1","Query","pupi",0.52,"i",0.2,0
"EB","rand1","Query","mimi'",0.38,"i",0.13,1
"EB","rand1","Query","case",0.51,"e",0.15,0
"EB","rand1","Query","kali'",0.39,"i",0.15,1
"EB","rand1","Query","rita",0.4,"a",0.13,0
"EB","rand1","Query","bepi",0.49,"i",0.18,0
"EB","rand1","Query","toto'",0.38,"o",0.15,1
"EB","rand1","Query","sofa'",0.47,"a",0.21,1
"EB","rand1","Query","kepi'",0.37,"i",0.14,1
"EB","rand1","Query","como'",0.38,"o",0.14,1
"EB","rand1","Stat","bide'",0.37,"e",0.17,1
"EB","rand1","Stat","palo",0.5,"o",0.14,0
"EB","rand1","Stat","nana'",0.33,"a",0.13,1
"EB","rand1","Stat","baro",0.46,"o",0.1,0
"EB","rand1","Stat","meta'",0.36,"a",0.13,1
"EB","rand1","Stat","tana",0.43,"a",0.13,0
"EB","rand1","Stat","tito",0.46,"o",0.13,0
"EB","rand1","Stat","sofa'",0.39,"a",0.1,1
"EB","rand1","Stat","falo'",0.34,"o",0.11,1
"EB","rand1","Stat","sede",0.51,"e",0.16,0
"EB","rand1","Stat","ramo",0.51,"o",0.15,0
"EB","rand1","Stat","kali'",0.37,"i",0.13,1
"EB","rand1","Stat","pipi'",0.35,"i",0.11,1
"EB","rand1","Stat","remi",0.42,"i",0.13,0
"EB","rand1","Stat","rita",0.44,"a",0.18,0
"EB","rand1","Stat","mali",0.48,"i",0.16,0
"EB","rand1","Stat","cile",0.54,"e",0.18,0
"EB","rand1","Stat","pupi",0.58,"i",0.17,0
"EB","rand1","Stat","casa",0.53,"a",0.15,0
"EB","rand1","Stat","como'",0.37,"o",0.11,1
"EB","rand1","Stat","pate'",0.39,"e",0.13,1
"EB","rand1","Stat","mose'",0.31,"e",0.12,1
"EB","rand1","Stat","bepi",0.45,"i",0.11,0
"EB","rand1","Stat","mimi'",0.35,"i",0.14,1
"EB","rand1","Stat","kepi'",0.33,"i",0.09,1
"EB","rand1","Stat","gile'",0.29,"e",0.12,1
"EB","rand1","Stat","para'",0.28,"a",0.08,1
"EB","rand1","Stat","tate",0.5,"e",0.15,0
"EB","rand1","Stat","case",0.56,"e",0.18,0
"EB","rand1","Stat","maro'",0.31,"o",0.11,1
"EB","rand1","Stat","toto'",0.34,"o",0.13,1
"EB","rand1","Stat","bara",0.43,"a",0.09,0
"EM","rand1","Query","mose'",0.44,"e",0.25,1
"EM","rand1","Query","maro'",0.42,"o",0.24,1
"EM","rand1","Query","gile'",0.38,"e",0.23,1
"EM","rand1","Query","tito",0.46,"o",0.15,0
"EM","rand1","Query","palo",0.46,"o",0.12,0
"EM","rand1","Query","casa",0.47,"a",0.11,0
"EM","rand1","Query","nana'",0.43,"a",0.24,1
"EM","rand1","Query","sede",0.44,"e",0.13,0
"EM","rand1","Query","remi",0.39,"i",0.1,0
"EM","rand1","Query","falo'",0.47,"o",0.25,1
"EM","rand1","Query","mali",0.43,"i",0.12,0
"EM","rand1","Query","baro",0.44,"o",0.14,0
"EM","rand1","Query","tana",0.4,"a",0.12,0
"EM","rand1","Query","para'",0.44,"a",0.25,1
"EM","rand1","Query","bide'",0.37,"e",0.18,1
"EM","rand1","Query","meta'",0.44,"a",0.21,1
"EM","rand1","Query","cile",0.44,"e",0.12,0
"EM","rand1","Query","pipi'",0.45,"i",0.23,1
"EM","rand1","Query","pate'",0.45,"e",0.22,1
"EM","rand1","Query","bara",0.43,"a",0.12,0
"EM","rand1","Query","ramo",0.45,"o",0.1,0
"EM","rand1","Query","tate",0.46,"e",0.12,0
"EM","rand1","Query","pupi",0.42,"i",0.11,0
"EM","rand1","Query","mimi'",0.43,"i",0.22,1
"EM","rand1","Query","case",0.48,"e",0.11,0
"EM","rand1","Query","kali'",0.42,"i",0.22,1
"EM","rand1","Query","rita",0.37,"a",0.12,0
"EM","rand1","Query","bepi",0.42,"i",0.12,0
"EM","rand1","Query","toto'",0.48,"o",0.25,1
"EM","rand1","Query","sofa'",0.47,"a",0.2,1
"EM","rand1","Query","kepi'",0.48,"i",0.23,1
"EM","rand1","Query","como'",0.45,"o",0.21,1
"EM","rand1","Stat","bide'",0.36,"e",0.15,1
"EM","rand1","Stat","palo",0.46,"o",0.1,0
"EM","rand1","Stat","nana'",0.34,"a",0.13,1
"EM","rand1","Stat","baro",0.5,"o",0.14,0
"EM","rand1","Stat","meta'",0.38,"a",0.13,1
"EM","rand1","Stat","tana",0.43,"a",0.11,0
"EM","rand1","Stat","tito",0.5,"o",0.16,0
"EM","rand1","Stat","sofa'",0.47,"a",0.14,1
"EM","rand1","Stat","falo'",0.38,"o",0.13,1
"EM","rand1","Stat","sede",0.44,"e",0.12,0
"EM","rand1","Stat","ramo",0.46,"o",0.09,0
"EM","rand1","Stat","kali'",0.36,"i",0.13,1
"EM","rand1","Stat","pipi'",0.36,"i",0.12,1
"EM","rand1","Stat","remi",0.43,"i",0.13,0
"EM","rand1","Stat","rita",0.46,"a",0.15,0
