Speaker,Rand,Pros,WordPF,DurwPF,VowelPF,DurvowelPF,WordF,DurwF,VowelF,DurvowelF
DN,rand3,List,remi,0.45,i,0.13,nana',0.34,a',0.15
DN,rand3,List,kali',0.40,i',0.15,kepi',0.38,i',0.12
DN,rand3,List,tate,0.56,e,0.16,para',0.37,a',0.14
DN,rand3,List,ramo,0.50,o,0.10,como',0.38,o',0.14
DN,rand3,List,mali,0.54,i,0.13,baro,0.49,o,0.15
DN,rand3,List,gile',0.46,e',0.24,toto',0.42,o',0.14
DN,rand3,List,para',0.49,a',0.22,pate',0.42,e',0.16
EB,rand1,List,bide',0.38,e',0.19,mose',0.36,e',0.12
EB,rand1,List,pipi',0.39,i',0.14,gile',0.32,e',0.14
EB,rand1,List,tate,0.51,e,0.09,para',0.33,a',0.13
EB,rand1,List,pate',0.39,e',0.13,kali',0.30,i',0.09
EB,rand1,List,meta',0.37,a',0.16,case,0.49,e,0.11
EB,rand1,List,baro,0.46,o,0.10,tana,0.43,a,0.11
EB,rand1,List,maro',0.31,o',0.13,rita,0.37,a,0.13
EB,rand1,List,casa,0.41,a,0.06,mali,0.34,i,0.12
EB,rand1,List,cile,0.38,e,0.04,pipi',0.36,i',0.13
EB,rand1,List,case,0.43,e,0.03,sede,0.41,e,0.11
EB,rand1,List,tana,0.28,a,0.04,falo',0.30,o',0.09
EB,rand1,List,remi,0.39,i,0.08,nana',0.30,a',0.13
EB,rand1,List,falo',0.37,o',0.13,tito,0.44,o,0.15
EB,rand1,List,bepi,0.47,i,0.09,palo,0.50,o,0.15
EB,rand1,List,kepi',0.44,i',0.20,maro',0.36,o',0.16
EB,rand1,List,como',0.34,o',0.14,pupi,0.42,i,0.11
EB,rand1,List,sede,0.41,e,0.09,sofa',0.38,a',0.09
EB,rand1,List,bara,0.46,a,0.11,cile,0.51,e,0.15
EB,rand1,List,gile',0.36,e',0.17,toto',0.37,o',0.13
EB,rand1,List,kali',0.37,i',0.14,kepi',0.38,i',0.12
EB,rand1,List,toto',0.44,o',0.20,bide',0.33,e',0.14
EB,rand1,List,para',0.40,a',0.17,pate',0.35,e',0.09
EB,rand1,List,tito,0.48,o,0.11,remi,0.36,i,0.10
EB,rand1,List,sofa',0.44,a',0.15,bara,0.40,a,0.09
EB,rand1,List,mimi',0.41,i',0.16,meta',0.34,a',0.11
EB,rand1,List,nana',0.37,a',0.16,bepi,0.44,i,0.10
EB,rand1,List,palo,0.45,o,0.11,tate,0.49,e,0.13
EB,rand1,List,mose',0.41,e',0.15,casa,0.52,a,0.11
EB,rand1,List,ramo,0.47,o,0.09,como',0.32,o',0.09
EB,rand1,List,mali,0.45,i,0.09,baro,0.46,o,0.12
EB,rand1,List,rita,0.45,a,0.13,ramo,0.43,o,0.09
EB,rand1,List,pupi,0.43,i,0.08,mimi',0.31,i',0.10
EM,rand1,List,bide',0.40,e',0.19,mose',0.37,e',0.11
EM,rand1,List,pipi',0.41,i',0.16,gile',0.30,e',0.11
EM,rand1,List,tate,0.50,e,0.13,para',0.33,a',0.12
EM,rand1,List,pate',0.42,e',0.16,kali',0.34,i',0.11
EM,rand1,List,meta',0.46,a',0.20,case,0.47,e,0.09
EM,rand1,List,baro,0.48,o,0.14,tana,0.35,a,0.09
EM,rand1,List,maro',0.42,o',0.21,rita,0.34,a,0.08
EM,rand1,List,casa,0.53,a,0.13,mali,0.39,i,0.08
EM,rand1,List,cile,0.57,e,0.16,pipi',0.33,i',0.10
EM,rand1,List,case,0.54,e,0.12,sede,0.39,e,0.09
EM,rand1,List,tana,0.45,a,0.12,falo',0.34,o',0.11
EM,rand1,List,remi,0.45,i,0.15,nana',0.33,a',0.14
EM,rand1,List,falo',0.44,o',0.18,tito,0.42,o,0.11
EM,rand1,List,bepi,0.53,i,0.15,palo,0.44,o,0.10
