Speaker,Rand,Pros,Word,Durw,Fvowel,DurFvowel
AC,rand4,Query,ramo,0.4,o,0.12
AC,rand4,Query,sede,0.5,e,0.18
AC,rand4,Query,tana,0.47,a,0.16
AC,rand4,Query,maro',0.43,o',0.27
AC,rand4,Query,kepi',0.57,i',0.3
AC,rand4,Query,tate,0.48,e,0.13
AC,rand4,Query,pupi,0.43,i,0.12
AC,rand4,Query,meta',0.47,a',0.27
AC,rand4,Query,bide',0.38,e',0.28
AC,rand4,Query,tito,0.48,o,0.16
AC,rand4,Query,mali,0.49,i,0.14
AC,rand4,Query,gile',0.42,e',0.27
AC,rand4,Query,mimi',0.51,i',0.31
AC,rand4,Query,para',0.46,a',0.29
AC,rand4,Query,mose',0.52,e',0.29
AC,rand4,Query,bara,0.48,a,0.14
AC,rand4,Query,cile,0.53,e,0.19
AC,rand4,Query,toto',0.51,o',0.29
AC,rand4,Query,sofa',0.52,a',0.28
AC,rand4,Query,como',0.45,o',0.18
AC,rand4,Query,palo,0.5,o,0.14
AC,rand4,Query,nana',0.32,a',0.18
AC,rand4,Query,pipi',0.5,i',0.27
AC,rand4,Query,bepi,0.5,i,0.14
AC,rand4,Query,baro,0.38,o,0.15
AC,rand4,Query,casa,0.47,a,0.13
AC,rand4,Query,falo',0.48,o',0.27
AC,rand4,Query,pate',0.51,e',0.27
AC,rand4,Query,rita,0.4,a,0.16
AC,rand4,Query,kali',0.51,i',0.29
AC,rand4,Query,remi,0.42,i,0.14
AC,rand4,Query,case,0.51,e,0.16
AC,rand4,Stat,bepi,0.42,i,0.12
AC,rand4,Stat,como',0.33,o',0.12
AC,rand4,Stat,nana,0.32,a,0.15
AC,rand4,Stat,case,0.46,e,0.13
AC,rand4,Stat,para',0.34,a',0.14
AC,rand4,Stat,tito,0.46,o,0.16
AC,rand4,Stat,tate,0.48,e,0.14
